[I 2025-11-21 15:55:07,242] Trial 0 finished with value: 1.224674940109253 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 8, 'distil': False, 'activation': 'gelu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:12,692] Trial 1 finished with value: 1.3025317192077637 and parameters: {'hidden_size': 64, 'n_head': 8, 'dropout': 0.3, 'conv_hidden_size': 32, 'distil': True, 'activation': 'relu', 'encoder_layers': 6, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:17,969] Trial 2 finished with value: 1.4711335897445679 and parameters: {'hidden_size': 64, 'n_head': 16, 'dropout': 0.3, 'conv_hidden_size': 16, 'distil': False, 'activation': 'gelu', 'encoder_layers': 2, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:21,680] Trial 3 finished with value: 1.2392276525497437 and parameters: {'hidden_size': 128, 'n_head': 4, 'dropout': 0, 'conv_hidden_size': 32, 'distil': True, 'activation': 'gelu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:37,020] Trial 4 finished with value: 1.2512149810791016 and parameters: {'hidden_size': 256, 'n_head': 4, 'dropout': 0.1, 'conv_hidden_size': 64, 'distil': False, 'activation': 'gelu', 'encoder_layers': 4, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:41,759] Trial 5 finished with value: 1.2849072217941284 and parameters: {'hidden_size': 128, 'n_head': 8, 'dropout': 0, 'conv_hidden_size': 32, 'distil': True, 'activation': 'gelu', 'encoder_layers': 2, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:55:57,915] Trial 6 finished with value: 1.24253249168396 and parameters: {'hidden_size': 256, 'n_head': 16, 'dropout': 0.05, 'conv_hidden_size': 64, 'distil': False, 'activation': 'gelu', 'encoder_layers': 2, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:03,585] Trial 7 finished with value: 1.2353438138961792 and parameters: {'hidden_size': 128, 'n_head': 2, 'dropout': 0.05, 'conv_hidden_size': 32, 'distil': False, 'activation': 'relu', 'encoder_layers': 1, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:11,477] Trial 8 finished with value: 1.2829856872558594 and parameters: {'hidden_size': 128, 'n_head': 2, 'dropout': 0.5, 'conv_hidden_size': 16, 'distil': False, 'activation': 'relu', 'encoder_layers': 4, 'decoder_layers': 2}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:15,531] Trial 9 finished with value: 1.3520853519439697 and parameters: {'hidden_size': 32, 'n_head': 16, 'dropout': 0.05, 'conv_hidden_size': 8, 'distil': True, 'activation': 'gelu', 'encoder_layers': 1, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
[I 2025-11-21 15:56:24,995] Trial 10 finished with value: 1.2453898191452026 and parameters: {'hidden_size': 256, 'n_head': 2, 'dropout': 0.1, 'conv_hidden_size': 8, 'distil': False, 'activation': 'relu', 'encoder_layers': 3, 'decoder_layers': 1}. Best is trial 0 with value: 1.224674940109253.
